整合編號,食品分類,樣品名稱,熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g)
A00101,穀物類,大麥,367,11.6,9.3,3,74.2,15.3
A00102,穀物類,大麥片,365,12.1,8.6,1.8,76.7,6
A00201,穀物類,小米,370,12.3,11.3,3.7,71.7,2.2
A00301,穀物類,糯小米,360,12.9,12.5,1.5,72.5,1.4
A00401,穀物類,小麥,362,12.6,14.1,2.6,69.2,11.3
A00501,穀物類,小麥胚芽,417,4.2,31.4,11.6,47.9,10
A00601,穀物類,水餃皮,262,33,7.8,0.5,57,1.5
A00602,穀物類,春捲皮,239,38.9,8.3,0.7,50.4,2
A00603,穀物類,餛飩皮,269,31.4,8.3,0.5,58.2,1.5
A00701,穀物類,去筋麵粉,355,13.6,0.2,0.1,85.7,0.4
A00801,穀物類,低筋麵粉,364,12,8.1,1.2,78.2,2
A00901,穀物類,中筋麵粉,361,12.6,11.5,1.3,74.1,1.8
A01001,穀物類,高筋麵粉,362,12.3,12.9,1.2,73.1,1.9
A01101,穀物類,全麥麵粉,359,12.7,13,1.7,71.4,8
A01201,穀物類,雜糧中筋麵粉,359,11.7,13.1,2.3,72,5.7
A01301,穀物類,雜糧高筋麵粉,358,12.4,14.3,2.8,69.6,5.3
A01401,穀物類,乾麵條,354,10.8,11.5,1.4,74.6,1.9
A01402,穀物類,油麵條,359,9,11.4,1.2,76.3,1.1
A01403,穀物類,紅蘿蔔麵,350,12,12.1,1,73.8,2.5
A01404,穀物類,通心麵,356,11.5,13.8,1.4,72.6,1.8
A01405,穀物類,菠菜條,353,11.5,11.8,1.2,74.4,2.5
A01406,穀物類,鍋燒意麵,475,5.8,10,22.8,58.5,3
A01407,穀物類,雞蛋麵,355,10.4,12.5,0.9,74.8,2.8
A01501,穀物類,刀削麵,265,33.5,8.4,0.9,56.2,1
A01502,穀物類,拉麵,290,26.6,9.1,0.8,62.1,1.3
A01503,穀物類,意麵,288,26.8,10.1,1,60.1,4.5
A01601,穀物類,衛生油麵,162,61.2,5.5,1.8,31.2,0.6
A01602,穀物類,金門黃麵,157,60.1,6.4,0.5,31.9,2.3
A01603,穀物類,冷凍烏龍麵,125,68.6,3,0.4,27.7,1.1
